,T [K],G [J/mol]
212,535.0,-102571582.53645071
213,537.5,-102572156.60413328
214,540.0,-102572732.37661521
215,542.5,-102573310.2309684
216,545.0,-102573890.0546815
217,547.5,-102574471.839832
218,550.0,-102575055.542582
219,552.5,-102575641.07219662
220,555.0,-102576228.73215732
221,557.5,-102576818.10633743
222,560.0,-102577409.4191345
223,562.5,-102578002.90908003
224,565.0,-102578598.05058576
225,567.5,-102579195.34919985
226,570.0,-102579794.28558339
227,572.5,-102580395.07672854
228,575.0,-102580998.3181713
229,577.5,-102581602.83713743
230,580.0,-102582209.46777518
231,582.5,-102582817.93380879
232,585.0,-102583428.42805332
233,587.5,-102584040.5056307
234,590.0,-102584654.64510979
235,592.5,-102585270.62650421
236,595.0,-102585888.56946264
237,597.5,-102586507.97148567
238,600.0,-102587129.73142931
239,602.5,-102587753.22990644
240,605.0,-102588378.61178263
241,607.5,-102589005.44378759
242,610.0,-102589634.57685463
243,612.5,-102590265.17657875
244,615.0,-102590897.89006028
245,617.5,-102591532.43356676
246,620.0,-102592168.67283528
247,622.5,-102592806.74354325
248,625.0,-102593446.76578872
249,627.5,-102594088.32637298
250,630.0,-102594731.82552585
251,632.5,-102595377.21670112
252,635.0,-102596024.34326875
253,637.5,-102596672.98648107
254,640.0,-102597323.79627158
255,642.5,-102597976.39577566
256,645.0,-102598630.71593541
257,647.5,-102599286.83833906
258,650.0,-102599944.6453507
259,652.5,-102600604.34791386
260,655.0,-102601265.78101432
261,657.5,-102601928.7371314
262,660.0,-102602593.71173024
263,662.5,-102603260.27079864
264,665.0,-102603928.78327754
265,667.5,-102604598.70363042
266,670.0,-102605270.76181193
267,672.5,-102605944.40026909
268,675.0,-102606620.24324523
269,677.5,-102607297.14544828
270,680.0,-102607976.06263348
271,682.5,-102608656.97799505
272,685.0,-102609338.66962585
273,687.5,-102610022.99807622
274,690.0,-102610708.54494713
275,692.5,-102611396.32600613
276,695.0,-102612085.35991143
277,697.5,-102612776.56093903
278,700.0,-102613469.03089136
